Time, Confusion Line, Direction, Response, Threshold, Correct
12.567703,2,0,0,0.5,true
22.773956,1,0,3,0.5,false
23.751265,2,2,1,0.3,false
25.128513,2,2,2,0.7,true
29.126356,1,1,3,0.55,false
31.236547,1,2,1,0.575,false
33.370007,1,0,1,0.5875,false
37.000816,0,0,3,0.5,false
40.843735,1,2,2,0.59375,true
43.32024,1,2,2,0.58125,true
47.250954,1,0,2,0.575,false
51.027981,1,2,1,0.5875,false
53.493282,1,0,2,0.59375,false
57.125259,0,0,0,0.55,true
61.112587,0,1,1,0.45,true
63.655571,1,1,1,0.596875,true
68.786804,1,0,0,0.590625,true
73.173531,0,0,2,0.4,false
76.949936,0,1,3,0.5,false
80.259613,1,0,3,0.5875,false
82.247215,0,2,2,0.55,true
86.145523,0,1,2,0.45,false
90.343239,0,1,2,0.65,false
92.709145,0,1,0,0.75,false
93.786308,0,2,2,0.8,true
95.097008,0,1,3,0.7,false
98.883812,1,1,0,0.59375,false
102.737953,1,0,2,0.596875,false
107.29744,1,1,2,0.598437,false
109.112671,1,0,2,0.599219,false
112.011597,1,2,2,0.599609,true
115.765511,1,2,2,0.598828,true
119.274765,1,2,2,0.598437,true
120.929771,1,0,2,0.598242,false
