Time, Confusion Line, Direction, Response, Threshold, Correct
3.784709,1,0,0,0.5,true
7.061095,0,0,0,0.5,true
10.615119,1,2,0,0.3,false
12.380962,1,1,2,0.7,false
13.358291,2,0,0,0.5,true
14.746584,2,2,2,0.3,true
16.500845,2,1,1,0.2,true
18.363625,1,2,2,0.9,true
19.910625,1,1,2,0.5,false
22.331394,1,0,1,1.3,false
25.064163,2,1,1,0.15,true
28.884394,2,1,1,0.125,true
33.016071,1,1,1,1.7,true
36.614338,2,2,2,0.1125,true
39.013275,1,2,2,0.9,true
41.700665,0,0,2,0.3,false
46.765289,1,2,2,0.5,true
48.542,0,1,2,0.7,false
52.196259,0,0,3,0.9,false
53.707294,0,0,0,1.0,true
57.37204,0,0,0,0.8,true
61.070137,1,1,0,0.3,false
63.501957,0,0,0,0.7,true
66.734062,2,1,0,0.10625,false
68.733025,0,0,0,0.65,true
71.386742,2,2,0,0.11875,false
74.230644,0,1,1,0.625,true
76.196297,0,0,3,0.6125,false
80.972084,2,1,2,0.125,false
83.093323,0,0,1,0.6375,false
84.437431,0,1,1,0.65,true
86.09198,2,1,1,0.128125,true
88.757469,0,0,0,0.625,true
89.76828,0,2,2,0.6125,true
93.57756,2,1,2,0.121875,false
95.19738,0,0,0,0.60625,true
98.741913,0,2,2,0.603125,true
101.89608,0,0,0,0.601562,true
104.061737,0,2,2,0.600781,true
106.183037,0,0,0,0.600391,true
108.00444,0,1,1,0.600195,true
110.059021,2,2,1,0.134375,false
113.590721,0,0,1,0.600098,false
117.655884,2,2,0,0.140625,false
119.021584,2,2,1,0.14375,false
120.42086,2,1,1,0.145313,true
123.019775,2,0,0,0.142188,true
124.552467,2,0,1,0.140625,false
