name,x,y,z,scale
dots1,13647,-6.151176,28.699505,2626.5625
dots2,13647,-45.100601,36.897717,508.5026353
dots3,13647,-45.098473,11.275171,823.6899426
dots4,13647,-19.474644,-22.548409,2522.550474
dots5,13647,22.549583,-6.150622,945.5625
dots6,13647,36.900322,20.499077,945.5625
dots7,13647,32.800659,55.347115,1438.305549
dots8,13647,-4.106018,75.840019,1477.441714
dots9,13647,-32.804287,59.43729,656.640625
dots10,13647,-38.954319,84.036201,508.5026353
dots11,13647,-65.603081,67.636444,1361.610369
dots12,13647,-79.938522,26.655949,2127.515625
dots13,13647,-67.642586,-16.397394,1853.302113
dots14,13647,-49.189861,-40.99469,268.96
dots15,13647,-36.880745,-55.3326,379.275625
dots16,13647,-6.13298,-67.633759,1853.302758
dots17,13647,30.764179,-43.03093,1681
dots18,13647,66.624191,-10.232317,2626.5625
dots19,13647,72.770119,38.964539,2034.010541
dots20,13647,60.462067,94.306908,2840.88952
dots21,13647,20.499222,96.351715,420.249959
dots22,13646.99902,-19.503395,118.887894,2732.675207
dots23,13647,-75.849899,114.779823,2420.63936
dots24,13646.99805,-109.673615,72.774918,2127.514933
dots25,13646.99805,-126.068756,32.780128,1438.305284
dots26,13646.99805,-114.798401,-10.261368,1853.30194
dots27,13646.99805,-93.269508,-47.157707,1361.609668
dots28,13647,-63.527046,-56.3741,710.2226066
dots29,13647,-45.079758,-81.979752,1287.015912
dots30,13647.00098,-14.325478,-114.77327,2626.5625
dots31,13647,26.674911,-94.270248,1361.609815
dots32,13647.00098,45.124535,-71.713089,508.5024549
dots33,13647,74.815308,-57.383862,1766.100457
dots34,13647.00098,113.757172,-30.735695,2320.830914
dots35,13647,109.647835,12.308701,1517.102578
dots36,13647,111.689407,47.15255,1075.839934
dots37,13647,94.298431,71.747757,710.2226066
dots38,13647,100.436188,96.335808,420.25
dots39,13647,83.022987,133.230103,945.5625
dots40,13646.99902,54.315735,134.272797,656.640625
dots41,13646.99902,25.608032,122.997955,1009.650816
dots42,13646.99902,33.803375,147.592773,508.5026804
dots43,13646.99902,10.248993,147.58667,605.1601476
dots46,13646.99902,-51.253647,139.379913,303.6307296
dots45,13646.99902,-36.90509,159.876144,945.5628075
dots47,13646.99805,-71.756111,159.868881,1214.522639
dots48,13646.99316,-104.554092,147.56395,1075.840197
dots44,13646.99902,-10.25354,153.732315,420.250164
dots49,13646.97559,-133.245224,133.202789,1075.840197
dots50,13646.9707,-114.789658,108.601578,656.6406763
dots51,13646.97266,-145.541199,96.302948,1287.015912
dots52,13646.97266,-147.588333,59.403404,945.5628075
dots53,13646.97266,-153.733795,32.755825,420.250041
dots54,13646.97266,-155.78006,7.176247,1214.522918
dots55,13646.97363,-172.176544,-27.669731,1517.102851
dots56,13646.97363,-139.370453,-37.914978,765.9057911
dots57,13646.97363,-128.123047,-76.861588,2626.5625
dots58,13646.97363,-81.998734,-91.208504,1681
dots59,13646.97363,-55.343674,-111.701912,710.2226066
dots60,13646.97363,-75.842033,-123.999992,605.16
dots61,13646.97461,-43.039185,-148.595093,1287.015912
dots62,13646.97461,4.112976,-158.841293,1483.357313
dots63,13646.97461,32.813576,-130.138855,1232.448859
dots64,13646.97461,67.662079,-101.434906,1751.056164
dots65,13646.97461,94.311676,-85.036362,605.16
dots66,13646.97461,110.710114,-66.586136,605.16
dots67,13646.97656,137.354919,-62.486134,710.2226066
dots68,13646.97559,166.05127,-39.938759,1897.691406
dots69,13646.97461,147.597992,-9.190186,945.5625
dots70,13646.97461,149.64537,33.857475,1897.691406
dots71,13646.97461,131.187378,81.00145,1897.691406
dots72,13646.97461,120.933609,124.046722,1897.691406
dots73,13646.97461,135.277466,169.141205,2127.515625
dots74,13646.97461,102.472382,148.634949,321.753978
dots75,13646.97363,102.471512,165.033752,236.390625
dots76,13646.97363,102.468842,189.630829,794.5351563
dots77,13646.97363,67.173935,171.167923,2370.472656
dots78,13646.97363,28.659546,171.167297,656.640625
dots79,13646.97266,-5.819672,180.169266,1477.441714
dots80,13646.96484,-49.294998,200.852158,2370.472656
dots81,13646.9541,-99.43399,191.697281,2127.515625
dots82,13646.95215,-136.431244,167.04834,1109.722923
dots83,13646.94727,-157.875458,146.551163,531.8789063
dots84,13646.94727,-176.372253,119.850937,1287.015912
dots85,13646.94824,-185.613037,74.755844,2370.472656
dots86,13646.95606,-180.404877,33.816788,945.5625
dots87,13646.95508,-203.000626,1.966934,1681
dots88,13646.95508,-214.24173,-46.229706,2626.5625
dots89,13646.95703,-159.889374,-56.372906,531.8789063
dots90,13646.95606,-181.62381,-75.623268,1287.015912
dots91,13646.95703,-161.928314,-109.66246,1681
dots92,13646.95703,-116.449638,-124.006104,2370.472656
dots93,13646.95703,-81.965973,-157.233032,1897.691406
dots94,13646.95703,-57.362457,-185.493927,794.5351563
dots95,13646.95703,-26.610901,-178.533569,1109.722923
dots96,13646.95703,0.039963,-185.489044,321.753978
dots97,13646.95996,23.400436,-196.974884,945.5625
dots98,13646.95996,41.043915,-167.025497,1182.586264
dots99,13646.95996,79.991989,-146.524963,2085.178064
dots100,13646.95996,102.538933,-115.776421,569.1506279
dots101,13646.96094,125.081741,-93.228432,1312.884567
dots102,13646.96289,161.975815,-80.928795,1109.722923
dots103,13646.96973,192.712708,-68.633453,1109.722923
dots104,13646.98047,223.705978,-41.99015,1897.691406
dots105,13646.97754,196.796112,-15.338264,656.640625
dots106,13646.97754,174.245117,-11.23893,236.390625
dots107,13646.97656,168.094498,7.210594,236.390625
dots108,13646.97656,190.642746,9.259232,656.640625
dots109,13646.97656,180.39032,27.707367,236.390625
dots110,13646.97754,207.035721,27.704697,656.640625
dots111,13646.97656,186.531845,54.351501,1109.722923
dots112,13646.97656,168.071701,78.943054,656.640625
dots113,13646.97656,196.746094,85.070236,794.5351563
dots114,13646.97656,157.789871,109.665382,945.5625
dots115,13646.97656,188.532089,111.708282,531.8789063
dots116,13646.97656,178.269806,144.495361,1681
dots117,13646.97656,170.067307,173.192963,321.753978
dots118,13646.97656,161.863678,195.739029,531.8789063
dots119,13646.97559,133.15799,220.332504,2370.472656
dots120,13646.97656,82.336792,220.324219,1477.441714
dots121,13646.97656,32.700409,212.121857,2626.5625
dots122,13646.97461,-10.352921,216.214813,945.5625
dots123,13646.96875,-43.156509,232.603821,321.753978
dots124,13646.96387,-80.058746,224.394348,794.5351563
dots125,13646.94531,-118.063904,240.770508,2626.5625
dots126,13646.9502,-143.60437,201.830032,1287.015912
dots127,13646.94434,-170.250992,171.077332,945.5625
dots128,13646.93359,-209.185654,152.624146,2626.5625
dots129,13646.92871,-213.281189,107.473846,945.5625
dots130,13646.91797,-240.014389,74.836823,2370.472656
dots131,13646.9209,-209.164948,41.932198,945.5625
dots132,13646.91699,-241.897705,24.489494,1681
dots133,13646.91797,-256.304016,-1.110878,236.390625
dots134,13646.91797,-237.846344,-13.407349,656.640625
dots135,13646.91797,-265.52356,-41.037552,1681
dots136,13646.91895,-250.072235,-82.143456,2127.515625
dots137,13646.91895,-213.276184,-82.037796,420.25
dots138,13646.91895,-199.973572,-103.585503,794.5351563
dots139,13646.91992,-194.76532,-138.431,1681
dots140,13646.91895,-151.710358,-150.726074,1477.441714
dots141,13646.91992,-117.800377,-171.272125,1109.722923
dots142,13646.91992,-92.249695,-200.071564,1681
dots143,13646.9209,-54.293274,-223.454895,1897.691406
dots144,13646.9209,-38.889771,-198.85141,236.390625
dots145,13646.92285,-12.23616,-213.193848,1477.441714
dots146,13646.93164,30.876678,-239.870239,2626.5625
dots147,13646.9375,61.519867,-203.967468,1681
dots148,13646.93262,92.266205,-183.475555,656.640625
dots149,13646.94043,120.96312,-162.968124,1477.441714
dots150,13646.94531,129.42836,-128.381958,1109.722923
