Time, Confusion Line, Direction, Response, Threshold, Correct
8.369062,1,1,1,100,true
9.112156,1,2,2,50,true
9.878426,0,0,0,100,true
10.733529,1,1,1,25,true
13.774802,1,0,0,12,true
17.854053,1,2,2,6,true
18.474823,0,1,1,50,true
19.219193,0,1,1,25,true
20.752443,2,2,2,100,true
27.160656,2,0,0,50,true
29.937431,2,0,2,25,false
34.479816,1,0,0,3,true
36.112652,0,0,0,12,true
38.944344,2,2,1,37,false
41.277233,0,0,2,6,false
43.953545,0,2,2,9,true
46.230213,2,2,2,43,true
48.473797,2,2,2,40,true
49.395393,0,2,2,7,true
50.538826,2,2,2,38,true
51.57185,2,0,2,37,false
52.693802,0,2,2,6,true
