Time, Confusion Line, Direction, Response, Threshold, Correct
13.382861,2,1,1,100,true
14.181125,1,2,2,100,true
20.856787,2,1,1,50,true
21.67844,0,2,2,100,true
23.234264,2,0,0,25,true
23.85524,0,0,0,50,true
24.677595,1,2,2,50,true
25.76635,1,2,2,25,true
26.74382,0,2,2,25,true
27.832106,0,1,1,12,true
29.031286,2,2,3,12,false
30.131166,0,2,2,6,true
31.608295,1,0,0,12,true
34.884338,0,0,2,3,false
35.927895,1,2,1,6,false
36.883415,2,1,0,18,false
37.592636,1,0,2,9,false
38.292709,1,2,3,10,false
39.193188,1,1,1,11,true
40.003159,2,1,0,21,false
40.937031,1,0,0,10,true
41.880787,0,1,1,4,true
42.501232,0,0,2,3,false
43.089863,2,2,0,23,false
43.889915,2,0,2,24,false
