Time, Confusion Line, Direction, Response, Threshold, Correct
2.289026,1,0,0,100,true
3.031494,1,0,0,50,true
3.830239,0,2,2,100,true
5.698996,1,2,2,25,true
6.787264,1,1,1,12,true
7.742088,1,1,1,6,true
8.807551,1,0,1,3,false
9.707385,1,1,3,4,false
10.595123,1,1,0,5,false
11.751241,2,2,2,100,true
12.493485,0,0,0,50,true
13.495437,0,0,0,25,true
15.016479,2,0,0,50,true
17.015345,0,0,2,12,false
18.358927,0,0,0,18,true
19.581041,0,2,2,15,true
20.669586,0,2,2,13,true
23.59008,0,0,0,12,true
25.16783,2,0,1,25,false
30.471663,2,0,1,37,false
31.629469,2,2,1,43,false
32.919662,2,2,0,46,false
33.483772,2,1,3,48,false
35.695446,2,1,2,49,false
