Time, Confusion Line, Direction, Response, Threshold, Correct
7.271806,0,0,0,100,true
8.09133,2,1,1,100,true
8.758166,1,1,1,100,true
9.545712,0,2,2,50,true
10.123365,1,1,1,50,true
10.935182,1,2,2,25,true
11.723273,0,2,2,25,true
13.335008,2,1,3,50,false
14.054668,1,1,1,12,true
14.765831,2,2,2,75,true
15.789489,0,2,2,12,true
16.609758,1,2,0,6,false
17.320593,2,0,3,62,false
17.931015,1,0,2,9,false
18.286749,0,0,1,6,false
18.830132,2,2,0,68,false
19.186308,1,0,3,10,false
19.596813,0,2,2,9,true
19.940836,0,1,1,7,true
20.306398,2,2,0,71,false
20.618544,2,0,3,73,false
21.073349,0,1,2,6,false
21.44075,1,2,1,11,false
21.751959,2,1,0,74,false
