Time, Confusion Line, Direction, Response, Threshold, Correct
9.027289,2,1,1,100,true
9.617904,0,1,1,100,true
11.163694,1,2,2,100,true
11.872521,1,1,1,50,true
12.605599,1,1,1,25,true
14.57278,2,0,0,50,true
15.438499,2,1,3,25,false
18.371605,1,1,1,12,true
19.292904,2,0,2,37,false
21.402334,0,2,2,50,true
22.813295,1,1,0,6,false
23.377884,2,2,3,43,false
24.200333,0,2,2,25,true
24.866043,1,0,1,9,false
25.676853,1,2,1,10,false
29.110704,1,1,2,11,false
30.076319,0,1,1,12,true
31.73242,0,0,0,6,true
32.563786,0,2,3,3,false
33.541931,2,0,2,46,false
34.151012,0,2,1,4,false
34.539818,2,2,1,48,false
34.872906,2,1,0,49,false
35.239445,0,2,3,5,false
